course_id,title,credits,department,level,description,terms_offered
AAAD-A 100,AFRICAN AMERICAN DANCE COMPANY: FOUNDATIONS AND PRACTICES,2 credits,AAAD,100,"Course Description: Emphasis on ethnic and jazz traditions although other genres are regularly preformed. Repertoire varies from semester to semester. Participation in on and off-campus concerts, workshops, and lecture demonstrations required.","Typically Offered: Summer, Fall"
AAAD-A 110,AFRICAN AMERICAN CHORAL ENSEMBLE: FOUNDATIONS AND PRACTICES,2 credits,AAAD,100,"Course Description: The ensemble performs music composed by, for and about blacks, including spirituals, gospel, art songs, and excerpts from operas and musicals.  Repertoire varies from semester to semester. Participation in on- and off-campus concerts, workshops, and lecture demonstrations required. No audition required.  Students meet the first day of class prepared to sing.  Vocal evaluations and part assignments will be done during class.  Ability to read music is desirable but not essential.","Typically Offered: Summer, Fall"
AAAD-A 113,ATKINS LIVING-LEARNING CENTER FOUNDATIONAL COURSE,1 credit,AAAD,100,Course Description: Examines the impact of African American history and culture on the nation as a whole and on the international community.,"Typically Offered: Summer, Fall"
AAAD-A 120,SOUL REVUE: FOUNDATIONS AND PRACTICES,2 credits,AAAD,100,"Course Description: Introduces the richness and depth of black popular tradition through authentic performance practices. Repertoire varies from semester to semester. Participation in on- and off-campus concerts, workshops, and lecture demonstrations required. Ability to read music desirable but not essential.","Typically Offered: Summer, Fall"
AAAD-A 150,SURVEY OF THE CULTURE OF BLACK AMERICANS,3 credits,AAAD,100,"Course Description: Explores the culture of Blacks in America viewed from a broad interdisciplinary approach, employing resources from history, literature, folklore, religion, sociology, and political science.","Typically Offered: Spring, Summer, Fall"
AAAD-A 154,HISTORY OF RACE IN THE AMERICAS,3 credits,AAAD,100,"Course Description: Exploration of the development of racism and racial ideologies in the United States, the Caribbean, Latin America, and South America from colonial times to the present. Emphasizes the interaction among cultural, political, and economic factors in shaping patterns of conflict and collaboration, domination and resistance.",Typically Offered: Summer
AAAD-A 201,INTRODUCTION TO AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES,3 credits,AAAD,200,"Course Description: Introduction to African American and African Diaspora Studies as a field of study: epistemological considerations, theories, and methods that have come to form what is called Africana Studies.",Typically Offered: Summer
AAAD-A 238,COMMUNICATION IN BLACK AMERICA,3 credits,AAAD,200,"Course Description: Communicative experiences of black Americans, including black dialect, language and ethnicity, interracial communication, recurring themes, spokespersons in black dialogue, and sociohistorical aspects of black language and communication.",Typically Offered: Summer
AAAD-A 249,AFRICAN AMERICAN AUTOBIOGRAPHY,3 credits,AAAD,200,Course Description: This course is a survey of autobiographies written by black Americans in the last two centuries. The course emphasizes how the autobiographies combine the grace of art and the power of argument to urge the creation of genuine freedom in America.,Typically Offered: Summer
AAAD-A 265,MODERN SPORTS AND THE AFRICAN AMERICAN EXPERIENCE,3 credits,AAAD,200,"Course Description: The impact of Afro-American sports heroes, famous teams and annual sporting events upon the shaping of Afro-American culture and the combating of American racism.","Typically Offered: Spring, Summer"
AAAD-A 295,SURVEY OF HIP HOP,3 credits,AAAD,200,"Course Description: Examines rap music and hip hop culture as artistic and socio-cultural phenomena with emphasis on historical, cultural, economic, and political contexts. Topics include the coexistence of various hip hop styles, their appropriation by the music industry, and controversies resulting from the exploitation of hip hop as a commodity for national and global consumption.","Typically Offered: Summer, Fall"
AAAD-A 297,POPULAR MUSIC OF BLACK AMERICA,3 credits,AAAD,200,"Course Description: A chronological survey of Black popular music from 1945-2000; rhythm and blues, soul, funk, disco, hip hop, and their derivative forms. Emphasis placed on the context for evolution and the contributions of African Americans to the development of a multi-billion dollar music industry.",Typically Offered: Summer
AAAD-A 337,SOUL REVUE: ADVANCED STUDIES AND PRACTICES,2 credits,AAAD,300,"Course Description: Focuses on music industry concerns related to the ensemble's live presentations of Black popular music. Explores how Black popular music is manifested within the broader context of the music industry. Readings explore music industry structures and practices (copyright law, publishing, creative production, etc.) that directly impact African American artists' creative output and livelihood.","Typically Offered: Summer, Fall"
